n,q,p_in,p_out,1,2,3,4,5
200,2,0.1,0.0101010101010101,0.525,0.77,0.61,0.515,0.51
200,2,0.2,0.0101010101010101,0.935,0.5,0.535,0.525,0.84
200,2,0.3,0.0101010101010101,0.9,0.5,0.93,0.925,0.89
200,2,0.4,0.0101010101010101,0.955,0.555,0.94,0.515,0.925
200,2,0.5,0.0101010101010101,0.535,0.92,0.53,0.92,0.505
200,2,0.6,0.0101010101010101,0.55,0.955,0.615,0.505,0.92
200,2,0.7,0.0101010101010101,0.505,0.93,0.95,0.53,0.95
200,2,0.8,0.0101010101010101,0.94,0.95,0.505,0.96,0.895
200,2,0.9,0.0101010101010101,0.515,0.565,0.92,0.535,0.515
200,2,1.0,0.0101010101010101,0.51,0.55,0.54,0.515,0.525
200,2,1.0,0.9898989898989898,0.505,0.53,0.565,0.585,0.515
300,3,0.1,0.0101010101010101,0.42,0.4333,0.3933,0.4433,0.3967
300,3,0.2,0.0101010101010101,0.4733,0.5,0.46,0.5167,0.4867
300,3,0.3,0.0101010101010101,0.4767,0.4033,0.56,0.43,0.4767
300,3,0.4,0.0101010101010101,0.3867,0.4967,0.4333,0.4167,0.5233
300,3,0.5,0.0101010101010101,0.41,0.3933,0.3533,0.53,0.3767
300,3,0.6,0.0101010101010101,0.3867,0.36,0.48,0.3667,0.3567
300,3,0.7,0.0101010101010101,0.3733,0.3633,0.3933,0.3533,0.3567
300,3,0.8,0.0101010101010101,0.3567,0.5167,0.3667,0.4033,0.4133
300,3,0.9,0.0101010101010101,0.3833,0.3467,0.3733,0.37,0.38
300,3,1.0,0.0101010101010101,0.39,0.3733,0.3733,0.3567,0.35
300,3,1.0,0.9898989898989898,0.3867,0.38,0.39,0.3733,0.3533
400,4,0.1,0.0101010101010101,0.3,0.3225,0.2875,0.3025,0.3075
400,4,0.2,0.0101010101010101,0.3025,0.295,0.29,0.3025,0.3075
400,4,0.3,0.0101010101010101,0.28,0.2875,0.3,0.28,0.29
400,4,0.4,0.0101010101010101,0.31,0.32,0.2925,0.2775,0.28
400,4,0.5,0.0101010101010101,0.3025,0.265,0.28,0.2875,0.29
400,4,0.6,0.0101010101010101,0.285,0.2725,0.2775,0.3,0.28
400,4,0.7,0.0101010101010101,0.3025,0.285,0.2825,0.2825,0.2875
400,4,0.8,0.0101010101010101,0.295,0.2675,0.2825,0.2875,0.305
400,4,0.9,0.0101010101010101,0.295,0.275,0.3325,0.335,0.3
400,4,1.0,0.0101010101010101,0.3025,0.295,0.2975,0.29,0.295
